Beer,beer/,,,,,,,,,,
Sake,sake/,,,,,,,,,,
Brandy,brandy/,,,,,,,,,,
Champagne & Sparkling Wines,champagne_and_sparkling_wine/,,,,,,,,,,
Gin,gin/,,,,,,,,,,
Liqueurs,liqueurs/,,,,,,,,,,
#Beer Drinks,,,,,,,,,,,
Ale Flip,ale_flip.txt,10144,10216,10221,10232,10013,,,,,
Beer Buster,beer_buster.txt,10330,10176,10004,,,,,,,
Black and Tan,black_and_tan.txt,10004,10007,,,,,,,,
Black Velvet,black_velvet.txt,10008,10377,,,,,,,,
Black Velveteen,black_velveteen.txt,10007,10027,,,,,,,,
Bloody Brew,bloody_brew.txt,10330,10156,10001,10176,10279,,,,,
Boilermaker,boilermaker.txt,10339,10004,,,,,,,,
Depth Charge,depth_charge.txt,10314,10002,,,,,,,,
Dogs Nose,dogs_nose.txt,10002,10028,,,,,,,,
Lager and Black,lager_and_black.txt,10183,10004,,,,,,,,
Lemon Top,lemon_top.txt,10002,10121,,,,,,,,
Michelada,michelada_1.txt,10249,10220,10005,,,,,,,
Michelada 2,michelada_2.txt,10144,10219,10323,10005,,,,,,
Michelada 3,michelada_3.txt,10249,10219,10180,10178,10176,10199,10005,,,
Red Eye,red_eye.txt,10156,10002,,,,,,,,
Shandygaff,shandygaff.txt,10120,10004,,,,,,,,
Stout Sangaree,stout_sangaree.txt,10192,10007,10366,10217,10202,,,,,
#Sake,,,,,,,,,,,
Asian Mary,asian_mary.txt,10305,10156,10249,,,,,,,
Mango Sake,mango_sake_sour.txt,10306,10126,10169,10248,,,,,,
Momokawa Mojito,momokawa_mojito.txt,10305,10145,10192,10266,,,,,,
Nigori Bellini,nigori_bellini.txt,10306,10170,10377,10258,,,,,,
Orange Sake Mimosa,orange_sake_mimosa.txt,10305,10335,10093,10150,10377,10256,,,,
Pearl Martini,pearl_martini.txt,10305,10330,10214,10215,,,,,,
Sake Colada,sake_colada.txt,10306,10259,10145,10128,10192,10259,,,,
Sake Cosmo,sake_cosmo.txt,10305,10092,10141,10145,10249,,,,,
Sake Lemon Drop,sake_lemon_drop.txt,10305,10144,10150,10192,10248,,,,,
Saketini,saketini.txt,10305,10028,10358,10248,,,,,,
Tokyotini,tokyotini.txt,10248,10223,10334,10305,10144,10184,10215,,,
Zen Cucumber,zen_cucumber.txt,10305,10144,10192,10273,,,,,,
#Brandy,,,,,,,,,,,
A.J.,aj.txt,10019,10143,10185,,,,,,,
Alabama,alabama.txt,10013,10092,10145,10221,10256,,,,,
American Beauty,american_beauty.txt,10013,10358,10150,10185,10064,10366,,,,
Angel Face,angel_face.txt,10013,10028,10021,10018,,,,,,
Apple Brandy Highball,apple_brandy_highball.txt,10020,10117,10242,,,,,,,
Apple Swizzle,apple_swizzle.txt,10018,10291,10145,10011,10221,10249,,,,
Apricot Cocktail,apricot_cocktail.txt,10021,10028,10144,10150,,,,,,
Au Currant Sidecar,au_currant_sidecar.txt,10248,10221,10319,10144,10150,10061,10093,10225,10248,
