Beer,beer/,,,,,,,,,,,,,,,,
Sake,sake/,,,,,,,,,,,,,,,,
Brandy,brandy/,,,,,,,,,,,,,,,,
Champagne & Sparkling Wines,champagne/,,,,,,,,,,,,,,,,
Gin,gin/,,,,,,,,,,,,,,,,
Liqueurs,liqueurs/,,,,,,,,,,,,,,,,
Rum,rum/,,,,,,,,,,,,,,,,
Tequila,tequila/,,,,,,,,,,,,,,,,
Whisky,whisky/,,,,,,,,,,,,,,,,
Wine & Fortified Wine,wine/,,,,,,,,,,,,,,,,
Shots,shooters/,,,,,,,,,,,,,,,,
#Beer,,,,,,,,,,,,,,,,,
Ale Flip,ale_flip.txt,10145,10217,10222,10233,10014,,,,,,,,,,,
Beer Buster,beer_buster.txt,10331,10177,10004,,,,,,,,,,,,,
Black and Tan,black_and_tan.txt,10004,10007,,,,,,,,,,,,,,
Black Velvet,black_velvet.txt,10008,10378,,,,,,,,,,,,,,
Black Velveteen,black_velveteen.txt,10007,10028,,,,,,,,,,,,,,
Bloody Brew,bloody_brew.txt,10331,10157,10001,10177,10280,,,,,,,,,,,
Boilermaker,boilermaker.txt,10340,10004,,,,,,,,,,,,,,
Depth Charge,depth_charge.txt,10315,10002,,,,,,,,,,,,,,
Dogs Nose,dogs_nose.txt,10002,10029,,,,,,,,,,,,,,
Lager and Black,lager_and_black.txt,10184,10004,,,,,,,,,,,,,,
Lemon Top,lemon_top.txt,10002,10122,,,,,,,,,,,,,,
Michelada,michelada_1.txt,10250,10221,10005,,,,,,,,,,,,,
Michelada 2,michelada_2.txt,10145,10220,10324,10005,,,,,,,,,,,,
Michelada 3,michelada_3.txt,10250,10220,10181,10179,10177,10200,10005,,,,,,,,,
Red Eye,red_eye.txt,10157,10002,,,,,,,,,,,,,,
Shandygaff,shandygaff.txt,10121,10004,,,,,,,,,,,,,,
Stout Sangaree,stout_sangaree.txt,10193,10007,10367,10218,10203,,,,,,,,,,,
#Sake,,,,,,,,,,,,,,,,,
Asian Mary,asian_mary.txt,10306,10157,10250,,,,,,,,,,,,,
Mango Sake,mango_sake_sour.txt,10307,10127,10170,10249,,,,,,,,,,,,
Momokawa Mojito,momokawa_mojito.txt,10306,10146,10193,10267,,,,,,,,,,,,
Nigori Bellini,nigori_bellini.txt,10307,10171,10378,10259,,,,,,,,,,,,
Orange Sake Mimosa,orange_sake_mimosa.txt,10306,10336,10094,10151,10378,10257,,,,,,,,,,
Pearl Martini,pearl_martini.txt,10306,10331,10215,10216,,,,,,,,,,,,
Sake Colada,sake_colada.txt,10307,10260,10146,10129,10193,10260,,,,,,,,,,
Sake Cosmo,sake_cosmo.txt,10306,10093,10142,10146,10250,,,,,,,,,,,
Sake Lemon Drop,sake_lemon_drop.txt,10306,10145,10151,10193,10249,,,,,,,,,,,
Saketini,saketini.txt,10306,10029,10359,10249,,,,,,,,,,,,
Tokyotini,tokyotini.txt,10249,10224,10335,10306,10145,10185,10216,,,,,,,,,
Zen Cucumber,zen_cucumber.txt,10306,10145,10193,10274,,,,,,,,,,,,
#Brandy,,,,,,,,,,,,,,,,,
A.J.,aj.txt,10020,10144,10186,,,,,,,,,,,,,
Alabama,alabama.txt,10014,10093,10146,10222,10257,,,,,,,,,,,
American Beauty,american_beauty.txt,10014,10359,10151,10186,10065,10367,,,,,,,,,,
Angel Face,angel_face.txt,10014,10029,10022,10019,,,,,,,,,,,,
Apple Brandy Highball,apple_brandy_highball.txt,10021,10118,10243,,,,,,,,,,,,,
Apple Swizzle,apple_swizzle.txt,10019,10292,10146,10011,10222,10250,,,,,,,,,,
Apricot Cocktail,apricot_cocktail.txt,10022,10029,10145,10151,,,,,,,,,,,,
Au Currant Sidecar,au_currant_sidecar.txt,10249,10222,10320,10145,10151,10062,10094,10226,10249,,,,,,,
Barton Special Cocktail,barton_special_cocktail.txt,10021,10029,10348,10249,,,,,,,,,,,,
Bermuda Highball,bermuda_highball.txt,10014,10029,10359,10120,10249,,,,,,,,,,,
Betsy Ross,betsy_ross.txt,10014,10367,10093,,,,,,,,,,,,,
Between the Sheets,between_the_sheets.txt,10014,10292,10093,10145,10193,10249,,,,,,,,,,
Blackjack,blackjack.txt,10014,10130,10017,10249,,,,,,,,,,,,
Bombay Cocktail,bombay_cocktail.txt,10014,10359,10361,10093,10042,,,,,,,,,,,
Bosom Caresser,bosom_caresser.txt10013,10362,10092,10186,,,,,,,,,,,,,
Brandied Port,brandied_port.txt,10014,10368,10145,10083,10257,,,,,,,,,,,
Brandy alexander,brandy_alexander.txt,10014,10052,10135,10218,,,,,,,,,,,,
Brandy Cassis,brandy_cassis.txt,10014,10145,10062,10249,,,,,,,,,,,,
Brandy Cobbler,brandy_cobbler.txt,10014,10193,10118,10252,10257,10268,,,,,,,,,,
Brandy Crusta,brandy_crusta.txt,10249,10226,10014,10093,10145,10083,10249,,,,,,,,,
Brandy Julep,brandy_julep.txt,10267,10222,10025,10014,10268,,,,,,,,,,,
Brandy Rickey,brandy_rickey.txt,10014,10146,10118,10250,,,,,,,,,,,,
Brandy Sangree,brandy_sangaree.txt,10222,10014,10118,10367,10218,,,,,,,,,,,
Brandy Sling,brandy_sling.txt,10014,10094,10145,10118,10249,,,,,,,,,,,
Brandy Sour,brandy_sour.txt,10014,10151,10193,10252,10257,,,,,,,,,,,
Calvados Car,calvados_car.txt,10249,10222,10021,10093,10151,10145,,,,,,,,,,
Charlie Chaplin,charlie_chaplin.txt,10022,10112,10146,10250,,,,,,,,,,,,
Cherry Blossom,cherry_blossom.txt,10014,10017,10093,10145,10186,,,,,,,,,,,
Chicago Cocktail,chicago_cocktail.txt,10249,10222,10014,10093,10011,,,,,,,,,,,
Classic Stinger,classic_stinger.txt,10014,10065,,,,,,,,,,,,,,
Contemporary Stinger,contemporary_stinger.txt,10014,10065,,,,,,,,,,,,,,
Corpse Reviver 1,corpse_reviver_1.txt,10014,10020,10361,,,,,,,,,,,,,
Corpse Reviver 2,corpse_reviver_2.txt,10014,10036,10065,,,,,,,,,,,,,
Depth Bomb,depth_bomb.txt,10021,10015,10145,10186,10243,,,,,,,,,,,
Dream,dream.txt,10014,10093,10038,,,,,,,,,,,,,
